rand,select,common_name,scientific_name,group,state_status,federal_status,global_rank,state_rank,global_rank_2,plan_date,rpn,fws_exp,other_fed_exp,state_exp,total_exp,years_rep,max_exp,median_exp,rpn_sort
0.798374525,0,Austin Blind Salamander,Eurycea waterlooensis,Amphibian,Endangered,Endangered,G1,S1,1,,2C,115000,5973,0,120973,3,75550,32223,2
0.707018439,0,Barton Springs Salamander,Eurycea sosorum,Amphibian,Endangered,Endangered,G1,S1,1,2005/08/29 00:00:00,2C,2882133,786338,59923,3728394,15,1884500,93850,2
0.216164862,0,Black-spotted Newt,Notophthalmus meridionalis,Amphibian,Threatened,Not listed,G1,S2,1,,,,,,,,,,
0.15176931,0,Blanco Blind Salamander,Eurycea robusta,Amphibian,Threatened,Not listed,G1Q,S1,1,,,,,,,,,,
0.854510605,0,Cascade Caverns Salamander,Eurycea latitans,Amphibian,Threatened,Not listed,G3,S1,3,,,,,,,,,,
0.460408955,0,Comal Blind Salamander,Eurycea tridentifera,Amphibian,Threatened,Not listed,G1,S1,1,,,,,,,,,,
0.336198065,0,Georgetown Salamander,Eurycea naufragia,Amphibian,,Threatened,G1,S1,1,,UNK,166000,49190,0,215190,2,174590,107595,
0.280702241,0,Houston Toad,Anaxyrus houstonensis,Amphibian,Endangered,Endangered,G1,S1,1,,,,,,,,,,
0.964579265,0,Jollyville Salamander,Eurycea tonkawae,Amphibian,,Threatened,G1,S2S3,1,,UNK,308000,75150,0,383150,3,250550,99400,
0.249488961,0,Mexican Burrowing Toad,Rhinophrynus dorsalis,Amphibian,Threatened,Not listed,G5,S2,5,,,,,,,,,,
0.797918011,0,Mexican Treefrog,Smilisca baudinii,Amphibian,Threatened,Not listed,G5,S3,5,,,,,,,,,,
0.930822747,0,Salado Salamander,Eurycea chisholmensis,Amphibian,,Threatened,G1,S1,1,,UNK,47500,3776,0,51276,2,42576,25638,
0.123634043,1,San Marcos Salamander,Eurycea nana,Amphibian,Threatened,Threatened,G1,S1,1,1996/02/14 00:00:00,2C,808896,33389,63933,906218,15,232499,26605,2
0.245803966,0,Sheep Frog,Hypopachus variolosus,Amphibian,Threatened,Not listed,G5,S2,5,,,,,,,,,,
0.32639972,0,South Texas Siren (large form),Siren sp. 1,Amphibian,Threatened,Not listed,GNRQ,S2,5.5,,,,,,,,,,
0.22542123,0,Texas Blind Salamander,Eurycea rathbuni,Amphibian,Endangered,Endangered,G1,S1,1,,,,,,,,,,
0.617886025,0,White-lipped Frog,Leptodactylus fragilis,Amphibian,Threatened,Not listed,G5,S1,5,,,,,,,,,,
0.079659289,1,Arizona Botteri's Sparrow,Peucaea botterii arizonae,Bird,Threatened,Not listed,G4T4,S1B,4,,,,,,,,,,
0.490856932,0,Attwater's Greater Prairie Chicken,Tympanuchus cupido attwateri,Bird,Endangered,Endangered,G4T1,S1B,4,2010/03/17 00:00:00,6,7542459,829082,485571,8857112,15,1472559,376123,6
0.03707752,1,Bachman's Sparrow,Aimophila aestivalis,Bird,Threatened,Not listed,G3,S3B,3,,,,,,,,,,
0.668369629,0,Bald Eagle,Haliaeetus leucocephalus,Bird,Threatened,Not listed,G5,"S3B,S3N",5,,,16855408,46693050,8777116,72325574,12,13462328,7251633.5,
0.160346926,0,Black-capped Vireo,Vireo atricapilla,Bird,Endangered,"Endangered, Proposed for Delisting",G3,S2B,3,1991/09/30 00:00:00,8,4436915,16290764,512940,21240619,15,4606463,1127323,8
0.610367538,0,Cactus Ferruginous Pygmy-owl,Glaucidium brasilianum cactorum,Bird,Threatened,Not listed,G5T3,S3B,5,,,2001685,1406663,562000,3970348,5,1607900,657590,
0.651898262,0,Common Black Hawk,Buteogallus anthracinus,Bird,Threatened,Not listed,G4G5,S2B,4.5,,,,,,,,,,
0.542287844,0,Eskimo Curlew,Numenius borealis,Bird,Endangered,Endangered,GH,SH,5.5,,5,22600,455558,11254,489412,15,350090,5400,5
0.312097116,0,Golden-cheeked Warbler,Dendroica chrysoparia,Bird,Endangered,Endangered,G2,S2B,2,1992/09/30 00:00:00,2C,5980468,22427348,266110,28673926,15,4471850,1553371,2
0.549413367,0,Gray Hawk,Buteo plagiatus,Bird,Threatened,Not listed,GNR,S2B,5.5,,,,,,,,,,
0.494908014,0,Interior Least Tern,Sterna antillarum athalassos,Bird,Endangered,Endangered,G4T2Q,S1B,4,,,,,,,,,,
0.162384698,0,Mexican Spotted Owl,Strix occidentalis lucida,Bird,Threatened,Threatened,G3G4T3T4,S1B,3.5,2012/12/18 00:00:00,9C,3759607,52794878,758354,57312839,15,6579778,3560723,9
0.012147094,1,Northern Aplomado Falcon,Falco femoralis septentrionalis,Bird,Endangered,Endangered,G4T2,S1,4,1990/06/08 00:00:00,3,2265600,13341806,233905,15841311,15,1539057,495328,3
0.050655793,1,Northern Beardless-tyrannulet,Camptostoma imberbe,Bird,Threatened,Not listed,G5,S3B,5,,,,,,,,,,
0.146607413,1,Peregrine Falcon,Falco peregrinus anatum,Bird,Threatened,Not listed,G4T4,S2B,4,,,,,,,,,,
0.379542229,0,Piping Plover,Charadrius melodus,Bird,Threatened,Threatened,G3,S2,3,,2C,18210745,120423724,5948312,144582781,15,18108135,3642228,2
0.69985969,0,Piping Plover,Charadrius melodus,Bird,Threatened,Threatened,G3,S2,3,2003/09/08 00:00:00,2C,18210745,120423724,5948312,144582781,15,18108135,3642228,2
0.267785445,0,Red-cockaded Woodpecker,Picoides borealis,Bird,Endangered,Endangered,G3,S2B,3,2003/01/27 00:00:00,8C,32569085,258196451,9742270,300507806,15,37900480,17915391,8
0.274813319,0,Red-crowned Parrot,Amazona viridigenalis,Bird,,Candidate,G2,S2,2,,,,,,,,,,
0.224782784,0,Reddish Egret,Egretta rufescens,Bird,Threatened,Not listed,G4,S3B,4,,,,,,,,,,
0.417826598,0,Rose-throated Becard ,Pachyramphus aglaiae,Bird,Threatened,Not listed,G4G5,SNA,4.5,,,,,,,,,,
0.640444777,0,Rufa Red Knot,Calidris canutus rufa,Bird,,Threatened, G4,S3N,5.5,,,464582,410159,2110,876851,1,876851,876851,
0.45167112,0,Sooty Tern,Sterna fuscata,Bird,Threatened,Not listed,G5,S2B,5,,,,,,,,,,
0.596893327,0,Southwestern Willow Flycatcher,Empidonax traillii extimus,Bird,Endangered,Endangered,G5T2,S1B,5,2002/08/30 00:00:00,3C,11374943,185197428,2102799,198675170,15,23157345,12297617,3
0.858130379,0,Swallow-tailed Kite,Elanoides forficatus,Bird,Threatened,Not listed,G5,S2B,5,,,,,,,,,,
0.224356504,0,Texas Botteri's Sparrow,Aimophila botterii texana,Bird,Threatened,Not listed,G4T4,S3B,4,,,,,,,,,,
0.727765619,0,Tropical Parula,Parula pitiayumi,Bird,Threatened,Not listed,G5,S3B,5,,,,,,,,,,
0.419919775,0,Western Yellow-billed Cuckoo,Coccyzus americanus occidentails,Bird,,Threatened,G5T2T3,S4S5B,5,,,,,,,,,,
0.952928207,0,White-faced Ibis,Plegadis chihi,Bird,Threatened,Not listed,G5,S4B,5,,,,,,,,,,
0.333353532,0,White-tailed Hawk,Buteo albicaudatus,Bird,Threatened,Not listed,G4G5,S4B,4.5,,,,,,,,,,
0.069047941,1,Whooping Crane,Grus americana,Bird,Endangered,Endangered,G1,S1,1,2007/03/30 00:00:00,2C,15871475,42518718,1984912,60375105,15,5987523,791512,2
0.430684597,0,Wood Stork,Mycteria americana,Bird,Threatened,Not listed,G4,"SHB,S2N",4,1997/01/27 00:00:00,5C,7776477,21579475,451413,29807365,15,6872943,1622372,5
0.479643135,0,Zone-tailed Hawk,Buteo albonotatus,Bird,Threatened,Not listed,G4,S3B,4,,,,,,,,,,
0.381068768,0,Arkansas River Shiner,Notropis girardi,Fish,Threatened,Threatened,G2,S2,2,2008/09/12 00:00:00,5C,1001630,1255380,73623,2330633,15,273082,131510,5
0.406956385,0,Big Bend Gambusia,Gambusia gaigei,Fish,Endangered,Endangered,G1,S1,1,1984/09/19 00:00:00,5,276748,112900,8950,398598,15,65772,17500,5
0.082552022,1,Blackside Darter,Percina maculata,Fish,Threatened,Not listed,G5,S1,5,,,,,,,,,,
0.145861387,1,Blotched Gambusia,Gambusia senilis,Fish,Threatened,Not listed,G3G4,SX,3.5,,,,,,,,,,
0.192630002,0,Blue Sucker,Cycleptus elongatus,Fish,Threatened,Not listed,G3G4,S3,3.5,,,,,,,,,,
0.491829759,0,Bluehead Shiner,Pteronotropis hubbsi,Fish,Threatened,Not listed,G3,S1,3,,,,,,,,,,
0.889423695,0,Bluntnose Shiner,Notropis simus,Fish,Threatened,Not listed,G2,SX,2,1992/09/30 00:00:00,3,,,,,,,,3
0.197675621,0,Chihuahua Shiner,Notropis chihuahua,Fish,Threatened,Not listed,G3,S2,3,,,,,,,,,,
0.965875336,0,Clear Creek Gambusia,Gambusia heterochir,Fish,Endangered,Endangered,G1,S1,1,1982/01/14 00:00:00,2,374113,0,8950,383063,13,222500,6300,2
0.879540264,0,Comanche Springs Pupfish,Cyprinodon elegans,Fish,Endangered,Endangered,G1,S1,1,1981/09/02 00:00:00,11,1152215,258000,160943,1571158,15,228625,75000,11
0.716885316,0,Conchos Pupfish,Cyprinodon eximius,Fish,Threatened,Not listed,G3G4,S1,3.5,,,,,,,,,,
0.498800841,0,Creek Chubsucker,Erimyzon oblongus,Fish,Threatened,Not listed,G5,S2S3,5,,,,,,,,,,
0.277394293,0,Devils River Minnow,Dionda diaboli,Fish,Threatened,Threatened,G1,S1,1,2005/08/22 00:00:00,2,1597275,7922,153097,1758294,15,501577,28476,2
0.566341208,0,Fountain Darter,Etheostoma fonticola,Fish,Endangered,Endangered,G1,S1,1,1996/02/14 00:00:00,2C,2827173,133359,5900,2966432,14,655364,80900,2
0.008621147,1,Leon Springs Pupfish,Cyprinodon bovinus,Fish,Endangered,Endangered,G1,S1,1,1985/08/14 00:00:00,5,397732,500,157303,555535,15,92150,27600,5
0.8806997,0,Mexican blind catfish,Prietella phreatophila,Fish,Endangered,Endangered,G1,S1,1,,,,,,,,,,
0.047691441,1,Mexican Goby,Ctenogobius claytonii,Fish,Threatened,Not listed,GNR,S1,5.5,,,,,,,,,,
0.437898538,0,Mexican Stoneroller,Campostoma ornatum,Fish,Threatened,Not listed,G3G4,S1,3.5,,,,,,,,,,
0.830648921,0,Opossum Pipefish,Microphis brachyurus,Fish,Threatened,Not listed,G4G5,S1N,4.5,,,,,,,,,,
0.307877502,0,Paddlefish,Polyodon spathula,Fish,Threatened,Not listed,G4,S3,4,,,,,,,,,,
0.808884211,0,Pecos Gambusia,Gambusia nobilis,Fish,Endangered,Endangered,G2,S2,2,1983/05/09 00:00:00,2,346031,334100,52117,732248,15,183700,38200,2
0.612776598,0,Pecos Pupfish,Cyprinodon pecosensis,Fish,Threatened,Not listed,G2,S1,2,,,,,,,,,,
0.570158583,0,Proserpine Shiner,Cyprinella proserpina,Fish,Threatened,Not listed,G3,S2,3,,,,,,,,,,
0.714134743,0,Rio Grande Chub,Gila pandora,Fish,Threatened,Not listed,G3,S1,3,,,,,,,,,,
0.444596384,0,Rio Grande Darter,Etheostoma grahami,Fish,Threatened,Not listed,G2G3,S2,2.5,,,,,,,,,,
