ref_sci,fws_exp,other_fed_exp,state_exp,total_exp,years_rep,max_exp,median_exp
Abronia macrocarpa,137700,6050,157898,301648,15,91580,9900
Abutilon eremitopetalum,97591,5412,8937,111940,15,18085,8700
Abutilon menziesii,341034,389445,659525,1390004,15,257122,86182
Abutilon sandwicense,106063,1358117,8046,1472226,14,441396,72653
Acaena exigua,135521,1987,4482,141990,15,41210,4400
Acanthomintha ilicifolia,2702116,47654,8300,2758070,15,1954815,12400
Acanthomintha obovata ssp. duttonii,50268,3717,0,53985,8,43998,1311.5
Accipiter gentilis laingi,21652,0,0,21652,1,21652,21652
Accipiter striatus venator,391500,344035,0,735535,15,126500,26500
Achatinella spp.,2681016,6940469,30900,9652385,15,1261375,626181
Achyranthes mutica,123396,1677,21631,146704,15,25224,5500
Achyranthes splendens var. rotundata,202902,94495,7822,305219,14,98368,14366.5
Acinonyx jubatus,0,212250,0,212250,1,212250,212250
Acipenser brevirostrum,6113641,33771266,819662,40704569,15,13469793,1965541
Acipenser medirostris,452706,43346976,223435,44023117,9,19971774,3605068
Acipenser oxyrinchus (=oxyrhynchus) desotoi,742075,5276248,32543,6050866,2,3554954,3025433
Acipenser oxyrinchus oxyrinchus,729539,14449045,519659,15698243,4,3626332,963641.5
Acipenser transmontanus,5892098,121270121,1994495,129156714,15,13632338,8925631
Acmispon dendroideus var. traskiae (=Lotus d. ssp. traskiae),60174,996845,0,1057019,3,374730,351827
Aconitum noveboracense,744008,46036,34200,824244,15,291600,40025
Acrocephalus familiaris kingi,681319,52465,0,733784,12,304677,42481.5
Acrocephalus luscinia,1702240,112700,176100,1991040,15,287963,152530
Acrocephalus percernis aquilonis,794,0,0,794,1,794,794
Acropora cervicornis,10000,9154333,0,9164333,9,2560317,1013144
Acropora globiceps,0,1005824,0,1005824,1,1005824,1005824
Acropora jacquelinae,0,349861,0,349861,1,349861,349861
Acropora lokani,0,349861,0,349861,1,349861,349861
Acropora palmata,10000,9696953,0,9706953,9,2460760,1173382
Acropora pharaonis,0,349861,0,349861,1,349861,349861
Acropora retusa,0,127843,0,127843,1,127843,127843
Acropora rudis,0,349861,0,349861,1,349861,349861
Acropora speciosa,0,349861,0,349861,1,349861,349861
Addax nasomaculatus,0,300,0,300,1,300,300
Adelocosa anops,371213,12000,0,383213,14,80905,18881.5
Adenophorus periens,190868,51335,6869,249072,14,66883,11189.5
Adiantum vivesii,57000,100,0,57100,14,15000,3500
Aerodramus vanikorensis bartschi,444531,7510600,106100,8061231,15,2467370,279225
Aeschynomene virginica,275575,103099,17579,396253,15,56827,21685
Agalinis acuta,188869,210382,102877,502128,14,164639,23241.5
Agave arizonica,77511,1600,1250,80361,6,42811,7700
Agave eggersiana,11100,100,0,11200,1,11200,11200
Agelaius xanthomus,2044300,319910,692837,3057047,14,338573,218074.5
Ailuropoda melanoleuca,0,469000,0,469000,1,469000,469000
Akialoa stejnegeri,82076,0,0,82076,1,82076,82076
Alasmidonta atropurpurea,744200,171953,54700,970853,15,166761,51610
Alasmidonta heterodon,1322204,4062394,819372,6203970,15,1037981,334218
Alasmidonta raveneliana,2403400,685076,476519,3564995,15,637938,187177
Alectryon macrococcus,306456,1611304,20011,1937771,15,228645,125824
Alligator mississippiensis,2647282,4325276,6329920,13302478,14,1800948,978891.5
Allium munzii,467138,57812,6200,531150,15,115500,13600
Alopecurus aequalis var. sonomensis,280873,255115,530,536518,15,110870,27762
Amaranthus brownii,129369,1677,3643,134689,15,91295,3100
Amaranthus pumilus,958236,4231677,48597,5238510,15,1035827,295080
Amazona vittata,19122500,2688165,2163480,23974145,15,1915235,1556868
Amblema neislerii,1481275,1003058,12000,2496333,15,331383,140515
Amblyopsis rosae,1379318,275197,588750,2243265,15,314100,141600
Ambrosia cheiranthifolia,443002,389817,30816,863635,15,254100,47452
Ambrosia pumila,2829242,206215,15000,3050457,14,1834875,40865.5
Ambrysus amargosus,197991,46526,0,244517,14,50272,13713
Ambystoma bishopi,266539,1772619,81418,2120576,7,490973,313250
Ambystoma californiense,17117918,23769707,49000,40936625,15,5135895,821170
Ambystoma cingulatum,2466145,5478980,365123,8310248,15,1871520,391395
Ambystoma macrodactylum croceum,3535271,17373,43500,3596144,14,1828507,96540
Ambystoma tigrinum stebbinsi,234470,1126005,207688,1568163,15,305900,69100
Ameiva polops,247600,208375,0,455975,15,73000,22000
Ammodramus maritimus mirabilis,2707406,15370545,0,18077951,15,5772100,731274
Ammodramus savannarum floridanus,2353175,4201274,261531,6815980,15,861914,482473
Amorpha crenulata,72200,112106,72400,256706,15,33050,23300
Amphianthus pusillus,60600,70879,51020,182499,15,22083,11000
Amphispiza belli clementeae,25329,4753753,1000,4780082,15,1229167,156888
Amsinckia grandiflora,1077832,86521,0,1164353,13,883727,24650
Amsonia kearneyana,21424,57579,10700,89703,15,16000,4095
Anaea troglodyta floridalis,164259,29250,0,193509,2,129609,96754.5
Anas laysanensis,1066651,1718451,0,2785102,15,495641,165390
Anas oustaleti,17854,0,0,17854,4,11553,2300.5
Anas wyvilliana,3699443,4525776,42528,8267747,15,2352043,403642
Anaxyrus californicus,1218049,3868949,0,5086998,4,1842962,1104780
Anaxyrus canorus,621306,144642,0,765948,2,533642,382974
Anguispira picta,137500,2300,0,139800,13,29500,7700
Anolis roosevelti,108100,1190,0,109290,12,43000,7000
Antilocapra americana sonoriensis,3081378,16000145,3059245,22140768,15,5827743,978225
Antrobia culveri,503988,174935,62600,741523,14,121200,44300
Antrolana lira,516263,160092,23246,699601,15,135105,43000
Aphelocoma coerulescens,11265616,21535167,695395,33496178,15,5011138,2146215
Apios priceana,424700,983070,12160,1419930,15,245510,81570
Aplodontia rufa nigra,910281,400190,19000,1329471,15,242193,72000
Apodemia mormo langei,950078,382180,6000,1338258,15,273249,90705
Aproteles bulmerae,0,150,0,150,1,150,150
Arabis georgiana,100,2734,0,2834,1,2834,2834
Arabis hoffmannii,29396,113951,200,143547,12,36700,7104
Arabis macdonaldiana,211090,119242,0,330332,8,108306,33125
Arabis perstellata,366950,50937,30700,448587,15,96450,24200
Arabis serotina,184521,136791,34350,355662,15,86549,17531
Arctocephalus townsendi,0,1514410,1200,1515610,12,571291,46678
Arctomecon humilis,258100,2272565,4700,2535365,15,1551000,50950
Arctostaphylos confertiflora,240880,136792,0,377672,15,186469,8066
Arctostaphylos franciscana,385258,11000,0,396258,3,339628,28950
Arctostaphylos glandulosa ssp. crassifolia,92681,470380,1800,564861,12,163673,34345.5
Arctostaphylos hookeri var. ravenii,163071,34810,0,197881,12,140293,3618
Arctostaphylos morroensis,197438,29735,5000,232173,15,77555,7645
Arctostaphylos myrtifolia,364631,315754,34400,714785,15,145608,36000
Arctostaphylos pallida,241629,300,3500,245429,12,45378,20000
Arenaria cumberlandensis,297900,75929,4330,378159,15,56225,19790
Arenaria paludicola,585901,213610,3700,803211,15,136107,51470
Arenaria ursina,303471,550082,0,853553,15,265935,30841
Argemone pleiacantha ssp. pinnatisecta,237963,424795,0,662758,13,132800,26000
Argyroxiphium kauense,525598,547328,54645,1127571,15,360152,55106
Argyroxiphium sandwicense ssp. macrocephalum,131961,376535,4707,513203,14,116438,25715.5
Argyroxiphium sandwicense ssp. sandwicense,193104,954,51507,245565,15,34243,16224
Aristida chaseae,89000,400,0,89400,14,12000,6250
Aristida portoricensis,76400,400,0,76800,15,11000,4000
Arkansia wheeleri,540638,2453189,64078,3057905,15,2170960,61261
Asclepias meadii,639709,309647,181746,1131102,15,150846,67654
Asclepias welshii,29464,365845,18000,413309,15,68000,22300
Asimina tetramera,64000,180466,29100,273566,15,82110,10700
Asplenium dielerectum,11208,1000,0,12208,1,12208,12208
Asplenium dielfalcatum,6730,0,0,6730,1,6730,6730
Asplenium dielmannii,16027,0,0,16027,1,16027,16027
Asplenium dielpallidum,23088,0,0,23088,1,23088,23088
Asplenium peruvianum var. insulare,9790,147800,0,157590,1,157590,157590
Asplenium scolopendrium var. americanum,194337,58297,10700,263334,15,60471,8597
Asplenium unisorum,4866,3793,0,8659,1,8659,8659
Assiminea pecos,153170,148670,14750,316590,11,74127,13650
Astelia waialealae,116478,1577,6410,124465,6,25686,21677.5
Astragalus albens,109204,245312,0,354516,13,101000,20000
Astragalus ampullarioides,279630,583375,0,863005,15,204700,42000
Astragalus applegatei,545928,212294,600,758822,15,150751,55350
Astragalus bibullatus,373100,42855,935,416890,15,50600,26616
Astragalus brauntonii,274957,195632,4100,474689,14,116778,18056
Astragalus clarianus,28886,300,200,29386,6,16288,2131
Astragalus cremnophylax var. cremnophylax,233818,593113,12200,839131,15,159000,41900
Astragalus desereticus,72000,32864,400,105264,14,42500,3250
Astragalus holmgreniorum,380845,2138421,12700,2531966,15,1557075,69200
Astragalus humillimus,68736,93796,0,162532,15,39938,9593
Astragalus jaegerianus,833917,3476602,200,4310719,15,729563,243000
Astragalus lentiginosus var. coachellae,1002364,404835,2000,1409199,13,338413,70182
Astragalus lentiginosus var. piscinensis,258143,163800,0,421943,15,89235,16393
Astragalus magdalenae var. peirsonii,749796,4812700,10400,5572896,15,1302200,265664
Astragalus montii,35100,82335,400,117835,14,75800,3050
Astragalus osterhoutii,31070,196405,0,227475,15,34425,17700
Astragalus phoenix,277426,54213,0,331639,11,85396,26003
Astragalus pycnostachyus var. lanosissimus,325152,7887,79200,412239,15,129200,19100
Astragalus robbinsii var. jesupi,187081,6213,32018,225312,15,40145,13600
Astragalus tener var. titi,39919,9000,0,48919,10,21600,2950
Astragalus tricarinatus,879317,150247,2200,1031764,15,384450,13500
Astrophytum asterias,926600,269114,401292,1597006,15,537156,53416
Atelopus varius zeteki,52020,83520,0,135540,1,135540,135540
Athearnia anthonyi,200400,29185,7656,237241,15,37920,5664
Atriplex coronata var. notatior,315435,2823,500,318758,12,110000,5110
